date,strategy,benchmark
2019-12-02,103001.2813217753,117439.73685026303
2019-12-03,102682.58392270561,116652.13366356373
2019-12-04,103725.90045890109,117371.90560350125
2019-12-05,103364.15064394384,117582.93051398778
2019-12-06,104869.6790866527,118656.90834939887
2019-12-09,103867.06393346816,118283.83649220913
2019-12-10,104011.64362158309,118151.97761999934
2019-12-11,104959.4489759254,118487.36826870758
2019-12-12,106579.87900301478,119508.60255523476
2019-12-13,106853.74623666206,119580.18670835943
2019-12-16,108542.28692748869,120401.74355465274
2019-12-17,108919.36318037008,120428.10265035699
2019-12-18,109113.52422796066,120435.6338205582
2019-12-19,110287.20696531872,120929.31850960676
2019-12-20,111003.09651596987,121459.49260579185
2019-12-23,111365.30262407368,121645.02057473859
2019-12-24,110978.88236429958,121648.83687479004
2019-12-26,111743.12291183975,122296.40340345498
2019-12-27,111173.43206652098,122266.12657779758
2019-12-30,110342.45639972176,121592.02345110041
2019-12-31,110517.79906937342,121887.38732485037
2020-01-02,112761.60023967108,123027.29459636635
2020-01-03,111991.73134083439,122095.72434294184
2020-01-06,113116.1479667475,122561.49045154754
2020-01-07,113579.06690938098,122216.89503926002
2020-01-08,114815.05904808937,122868.22715302557
2020-01-09,116511.85127027852,123701.35968685038
2020-01-10,116528.69142144357,123345.37876809707
2020-01-13,118216.29162427278,124193.70042970144
2020-01-14,117392.23396383297,124004.35616070325
2020-01-15,117537.41085673934,124284.5816216245
2020-01-16,119147.60292254858,125318.41857343787
2020-01-17,119414.99175522466,125708.4545816869
2020-01-21,119190.12425424546,125462.30956773681
2020-01-22,119501.69963453781,125477.46065930322
2020-01-23,120093.2270819077,125621.35165360218
2020-01-24,119311.97606536424,124504.17735880466
2020-01-27,117356.84886461432,122508.45529169623
2020-01-28,119222.99182374212,123792.27891498659
2020-01-29,118915.68143773511,123690.03757407314
2020-01-30,120469.44886174447,124091.43373131256
2020-01-31,118822.86011402537,121838.19382252594
2020-02-03,120809.63352426978,122743.27819286908
2020-02-04,125310.54590910433,124614.02594234559
2020-02-05,125813.58115671486,126053.10070892527
2020-02-06,126004.88090849193,126477.21716414546
2020-02-07,123870.74113372371,125803.15207366143
2020-02-10,127017.01931750322,126742.32956971343
2020-02-11,128875.19092442577,126961.96334310673
2020-02-12,130588.94277076761,127779.93210662741
2020-02-13,130812.46076478367,127643.62299748053
2020-02-14,129875.55723952422,127848.14371552056
2020-02-18,127183.10167529173,127518.66135858632
2020-02-19,129278.42412796624,128128.34381896639
2020-02-20,127472.26776143254,127601.92262914419
2020-02-21,122674.16710786324,126287.91093136041
2020-02-24,116814.36222823837,122099.47724930473
2020-02-25,113689.53814933011,118399.63140373722
2020-02-26,114640.94530637813,117964.1167633135
2020-02-27,109333.23793297079,112666.12870782553
2020-02-28,111339.99055822112,112192.8060715432
2020-03-02,114171.55325348867,117051.43782908059
2020-03-03,112272.73098659584,113699.99101711433
2020-03-04,114906.91678924937,118479.17780414532
2020-03-05,113186.21595549936,114540.68007861577
2020-03-06,112025.34004658158,112647.2120311585
2020-03-09,107216.39883037153,103850.06352998498
2020-03-10,110506.26408182469,109223.78802519848
2020-03-11,107289.78879816827,103899.29506852255
2020-03-12,101477.92023454655,93958.51174694557
2020-03-13,106823.13791223982,101990.65057202343
2020-03-16,97860.9784071401,90830.4516147355
2020-03-17,103249.30639746838,95734.6000406607
2020-03-18,97558.44838996654,90887.27771716284
2020-03-19,98315.1444817882,91080.41926810592
2020-03-20,96924.58849592663,87155.38002265817
2020-03-23,98050.37594149567,84926.9777610503
2020-03-24,104864.00043519103,92621.62760632849
2020-03-25,104509.37062169741,94008.18704130307
2020-03-26,108983.98289707348,99497.3070678067
2020-03-27,105789.57886285985,96533.71552120293
2020-03-30,107612.95783384473,99668.72360167945
2020-03-31,106469.81750661855,98183.12420706381
2020-04-01,103935.63022799743,93764.4002725675
2020-04-02,104553.60590985793,95928.04588130888
2020-04-03,103602.94715985414,94541.4864463343
2020-04-06,108105.04044768696,100891.46106667108
2020-04-07,107909.36392017087,100994.32366573243
2020-04-08,109944.21433728037,104384.54839699232
2020-04-09,109991.6781670526,105972.99771193159
2020-04-13,109918.80818454805,105005.44520087907
2020-04-14,111916.33527554732,108102.39171074271
2020-04-15,110447.97417377445,105805.42283558573
2020-04-16,111180.92536936408,106315.8561371525
2020-04-17,112339.80693737743,109188.02130611156
2020-04-20,111567.58099770942,107264.33982668545
2020-04-21,108586.91021419181,104007.45737994772
2020-04-22,110956.70547399932,106315.8561371525
2020-04-23,110682.0884369754,106308.21719768073
2020-04-24,111776.20724183696,107790.00029224489
2020-04-27,112509.07139675991,109344.18531851619
2020-04-28,112033.39623452858,108841.37193831464
2020-04-29,114848.65875144086,111690.6646644404
2020-04-30,113844.23200945521,110650.75459726274
2020-05-01,110968.09587808055,107721.45903617123
2020-05-04,111581.99691378663,108018.5725757255
2020-05-05,112640.794393868,109016.57941476342
2020-05-06,113174.45374893452,108277.59918719147
2020-05-07,114706.76086521597,109584.16846593803
2020-05-08,116113.95957722914,111397.3801036753
2020-05-11,116404.33555876568,111420.21451029548
2020-05-12,114949.20587336773,109199.41949131509
2020-05-13,113412.15396756772,107268.15612673691
2020-05-14,114489.72233460324,108551.86564138786
2020-05-15,114023.8824579076,109050.86272153795
2020-05-18,115852.19014287551,112372.53985735532
2020-05-19,116347.19653350959,111218.35632717508
2020-05-20,117700.3513817614,113107.70378487579
2020-05-21,116938.78512009767,112326.8076504264
2020-05-22,116681.53806264821,112540.1400911766
2020-05-26,117149.72795763491,113926.7122048889
2020-05-27,117753.66372035701,115621.80872209671
2020-05-28,116961.04402252179,115408.51431755965
2020-05-29,118350.73474045857,115922.75124044015
2020-06-01,118617.81192159714,116391.24327765402
2020-06-02,118625.19818277188,117354.9794886551
2020-06-03,119665.67391010448,118916.7844362916
2020-06-04,119594.4497438375,118604.43105400691
2020-06-05,121027.69777817528,121644.2218142627
2020-06-08,121309.13927368072,123114.61306299221
2020-06-09,121193.24313290775,122196.58370144463
2020-06-10,121475.37497763682,121514.73386600513
2020-06-11,117392.6117571086,114509.49038384308
2020-06-12,118345.34861642765,115880.83533356269
2020-06-15,119142.20689919943,116962.6613076178
2020-06-16,120585.13392079936,119213.91065458357
2020-06-17,120616.72221441272,118718.74255322263
2020-06-18,120742.00915149771,118764.44940267614
2020-06-19,120817.45004127757,118085.7058579762
2020-06-22,121397.36809062082,118843.20972134607
2020-06-23,121631.99951485837,119390.34796859045
2020-06-24,120367.4101906163,116344.86445510176
2020-06-25,121076.5152216096,117592.14795630475
2020-06-26,119907.88667158234,114799.12346814698
2020-06-29,120290.77526646247,116486.4225616616
2020-06-30,121800.0354749859,117978.58320304345
2020-07-01,121837.62886141826,118804.98332714294
2020-07-02,122156.8239903553,119459.23155058235
2020-07-06,123515.90562472338,121303.37930833809
2020-07-07,122868.67871915828,120052.2414708705
2020-07-08,124007.7835191745,120970.49904969691
2020-07-09,124841.64579140881,120281.81537463039
2020-07-10,124590.70243647054,121509.99201810066
2020-07-13,122703.10987739047,120457.84696903046
2020-07-14,123332.93759764156,122018.84047745336
2020-07-15,123319.29424599497,123139.86910851547
2020-07-16,122784.48191939585,122734.32700404407
2020-07-17,123275.6575859962,123090.14309920713
2020-07-20,125398.23217165779,124084.85346643979
2020-07-21,124762.18115734015,124348.86282182677
2020-07-22,125123.21584619553,125056.66603336371
2020-07-23,124316.77326949869,123564.53074945729
2020-07-24,123937.0598171697,122768.74977693346
2020-07-27,125265.3842558047,123663.9954468117
2020-07-28,124281.76640671694,122879.63801696681
2020-07-29,125405.07663253575,124390.91819481907
2020-07-30,125892.21219776926,123947.13701740683
2020-07-31,126006.60968753733,124926.60754190909
2020-08-03,129032.37330031181,125795.08839647629
2020-08-04,128171.27610906317,126280.97566183169
2020-08-05,129731.78928759934,127065.32041293888
2020-08-06,129855.88828516642,127914.7197672488
2020-08-07,127103.72923245706,128006.52650702487
2020-08-10,125628.7395694055,128389.12009623669
2020-08-11,123756.81373654923,127329.32976832586
2020-08-12,125697.85327048892,129104.55590787654
2020-08-13,127626.75049634192,128871.20374027833
2020-08-14,127067.87542450057,128875.0327190675
2020-08-17,128729.29379127784,129284.41648106578
2020-08-18,130254.44179176661,129563.70371539632
2020-08-19,129878.63107255386,129024.23610446797
2020-08-20,132736.50156713242,129425.9492301502
2020-08-21,131192.12018259283,129885.09703766998
2020-08-24,130901.91466328036,131201.21340591402
2020-08-25,132869.80245997582,131660.3612134338
2020-08-26,143750.5887289763,132980.30656046703
2020-08-27,142366.9508929348,133271.09340990277
2020-08-28,146604.1035271277,134131.92898562935
2020-08-31,145117.70753934572,133646.04172027393
2020-09-01,145040.38814725485,134904.82483658215
2020-09-02,147810.4527740474,136856.08257053292
2020-09-03,144082.85205119214,132146.23580005148
2020-09-04,142804.84669876687,131067.2878994571
2020-09-08,139769.88588015857,127486.15307509153
2020-09-09,140831.95720551518,130003.70662897023
2020-09-10,139766.37533514574,127746.37148790248
2020-09-11,140146.60560451646,127811.36269741665
2020-09-14,142650.57449632254,129494.83281214212
2020-09-15,141553.61269116955,130149.09371431926
2020-09-16,142546.16169039803,129632.56193991279
2020-09-17,143141.47491553501,128492.40109364255
2020-09-18,142134.1980657729,127013.1347285143
2020-09-21,141921.6722078447,125599.55690347441
2020-09-22,142088.76897644473,126878.67671507345
2020-09-23,142009.74921601516,123936.20794549867
2020-09-24,141658.89187710578,124266.57781407278
2020-09-25,142478.57583572267,126275.61255577931
2020-09-28,144359.2700319126,128372.98006312869
2020-09-29,144612.6162559095,127673.84910818709
2020-09-30,142866.21008428012,128641.84537505957
2020-10-01,144592.2080549539,129467.72567091283
2020-10-02,143663.44777243724,128238.53472842555
2020-10-05,145552.00787097722,130512.56776706064
2020-10-06,145208.1066930088,128657.21200516708
2020-10-07,147170.40371563498,130896.72084101109
2020-10-08,147197.70041119424,132056.7619480145
2020-10-09,148043.68624687323,133236.07473634087
2020-10-12,150326.50322217535,135379.55481275058
2020-10-13,150558.45491818563,134496.03697525637
2020-10-14,149271.6174328681,133650.92303429326
2020-10-15,149039.7947405482,133485.7951543259
2020-10-16,148371.16060948832,133405.08231004825
2020-10-19,147662.76001404086,131376.87731692044
2020-10-20,147240.40462003293,131903.12100441466
2020-10-21,145874.2438879775,131653.4513013805
2020-10-22,145329.4435740249,132375.58148653255
2020-10-23,146322.29861824334,132825.03005970226
2020-10-26,145365.97460576356,130370.42643856602
2020-10-27,145117.82117406378,129921.00322287173
2020-10-28,143398.77809990197,125480.45284140337
2020-10-29,144509.06851177808,126755.75635295095
2020-10-30,141770.44178295604,125434.36562981851
2020-11-02,141962.0145401214,126840.29817601776
2020-11-03,143668.00749026064,129079.76897564864
2020-11-04,147787.9818719717,131964.6128823202
2020-11-05,149654.59657159966,134538.25717183892
2020-11-06,151139.18652509834,134507.49855414845
2020-11-09,147516.54607902182,136197.71375733695
2020-11-10,145301.6539430956,135997.99828088994
2020-11-11,147601.0602668871,137008.2274230827
2020-11-12,147634.169391973,135679.11534868335
2020-11-13,147181.262789499,137557.57177068904
2020-11-16,147746.29104914417,139274.60250413945
2020-11-17,148079.6220154633,138525.5807162992
2020-11-18,147618.5478402389,136858.415458272
2020-11-19,148915.58503790232,137434.62605109112
2020-11-20,148557.18287837307,136493.4960294314
2020-11-23,148271.34876390419,137311.66765275548
2020-11-24,147923.2251120943,139524.28488591133
2020-11-25,149265.6390282882,139309.2027793568
2020-11-27,150676.81663927017,139697.18483209642
2020-11-30,151311.66499607754,139078.70332774392
2020-12-01,153513.48524290376,140599.8855997496
