date,strategy,benchmark
2020-01-06,124458.50675078161,122561.47696090247
2020-01-07,125398.222712956,122216.84362163971
2020-01-08,126471.98633884608,122868.20088642098
2020-01-09,127186.84730912794,123701.32047743547
2020-01-10,126522.45253478114,123345.33967151683
2020-01-13,128430.43049060409,124193.6357067627
2020-01-14,130183.91393572792,124004.31685524803
2020-01-15,129533.28178751536,124284.5041911456
2020-01-16,132178.67500836286,125318.3534939991
2020-01-17,132129.9594064495,125708.42741482014
2020-01-21,131729.22215520556,125462.28247889022
2020-01-22,131996.3744870612,125477.40820818684
2020-01-23,133423.6697076335,125621.32451434428
2020-01-24,132401.28033562168,124504.16325238933
2020-01-27,128303.95088800955,122508.45449659531
2020-01-28,130999.012712154,123792.22699801945
2020-01-29,129811.09090783182,123689.97301077958
2020-01-30,130441.00985735461,124091.40707699022
2020-01-31,126721.81614492193,121838.15520367562
2020-02-03,127743.73607665376,122743.23928713566
2020-02-04,131633.95967632663,124614.01180111174
2020-02-05,131256.01948633493,126053.03539661551
2020-02-06,131186.71631823573,126477.15171740421
2020-02-07,129888.32958532679,125803.12487677856
2020-02-10,132532.12707323645,126742.27671767364
2020-02-11,133656.28644132405,126961.94845765106
2020-02-12,135073.18010096258,127779.90428316785
2020-02-13,136634.7441761167,127643.53182355818
2020-02-14,138189.63330146312,127848.0651555053
2020-02-18,137376.31328094553,127518.62093920763
2020-02-19,139487.96709667027,128128.25249140286
2020-02-20,137395.9241053557,127601.92021957538
2020-02-21,132724.41521664147,126287.85822335693
2020-02-24,127653.87308108881,122099.48926257061
2020-02-25,123848.30952316195,118399.56851733493
2020-02-26,124311.92198933427,117964.07937242296
2020-02-27,119271.50511634728,112666.11835369686
2020-02-28,121531.6545343612,112192.73247377435
2020-03-02,125190.76688099984,117051.40072748037
2020-03-03,122944.20041799362,113699.96765655035
2020-03-04,125620.13578687132,118479.08953506195
2020-03-05,123758.23581582528,114540.63109411258
2020-03-06,121990.5039363105,112647.16364682475
2020-03-09,116248.25239572172,103850.06230963673
2020-03-10,119417.27717908447,109223.72804724806
2020-03-11,115933.97689490777,103899.26213573522
2020-03-12,109718.46822422554,93958.47562570502
2020-03-13,115221.14149001904,101990.63726231654
2020-03-16,105804.68925746423,90830.43550309152
2020-03-17,109457.1584599878,95734.56969582323
2020-03-18,103973.32413877327,90887.26158750679
2020-03-19,106651.66760467537,91080.38405912956
2020-03-20,105569.77670647588,87155.33971842815
2020-03-23,106877.78498380785,84926.93816315325
2020-03-24,113755.38995738748,92621.57289073733
2020-03-25,114212.76043932198,94008.16992241755
2020-03-26,117988.60773365722,99497.28186967707
2020-03-27,114857.47798188787,96533.67224433746
2020-03-30,116660.9813382848,99668.6856704825
2020-03-31,115030.08790533582,98183.09308612169
2020-04-01,111805.80929964755,93764.35787348729
2020-04-02,111657.96161624917,95928.02181452204
2020-04-03,110559.64103067103,94541.45647967605
2020-04-06,116347.03036293936,100891.4417660056
2020-04-07,116317.65232683974,100994.29799309593
2020-04-08,118864.6812439469,104384.53432849559
2020-04-09,118900.00762175609,105972.98313994672
2020-04-13,119009.76207671117,105005.43093557771
2020-04-14,121846.0484669246,108102.30673077203
